Dataset,Solver,Timeout,Time,Size,Certificate
aa51,huffner,1,0.3,11,"['11', '17', '24', '3', '35', '41', '42', '43', '6', '7', '9']"
aa51,huffner,10,1.0,11,"['1', '11', '24', '25', '3', '35', '41', '42', '6', '7', '9']"
aa52,huffner,0.01,0.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa52,huffner,0.1,0.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa52,huffner,1,0.3,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa52,huffner,10,1.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa53,huffner,0.01,0.01,12,"['12', '2', '24', '26', '27', '3', '31', '33', '34', '38', '40', '42']"
aa53,huffner,0.1,0.0,12,"['16', '24', '26', '27', '3', '31', '33', '34', '36', '38', '40', '42']"
aa53,huffner,1,0.3,12,"['16', '24', '26', '27', '3', '31', '33', '34', '36', '38', '40', '42']"
aa53,huffner,10,1.0,12,"['16', '24', '26', '27', '3', '31', '33', '34', '36', '38', '40', '42']"
aa54,huffner,0.01,0.01,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
aa54,huffner,0.1,0.0,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
aa54,huffner,1,0.3,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
aa54,huffner,10,1.0,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
j10,huffner,0.01,0.0,3,"['0', '5', '8']"
j10,huffner,0.1,0.0,3,"['0', '5', '8']"
j10,huffner,1,0.3,3,"['0', '5', '8']"
j10,huffner,10,1.0,3,"['0', '5', '8']"
j11,huffner,0.01,0.0,5,"['17', '18', '19', '24', '25']"
j11,huffner,0.1,0.0,5,"['17', '18', '19', '24', '25']"
j11,huffner,1,0.3,5,"['17', '18', '19', '24', '25']"
j11,huffner,10,1.0,5,"['17', '18', '19', '24', '25']"
j13,huffner,0.01,0.0,4,"['17', '24', '29', '5']"
j13,huffner,0.1,0.0,4,"['17', '24', '29', '5']"
j13,huffner,1,0.3,4,"['17', '24', '29', '5']"
j13,huffner,10,1.0,4,"['17', '24', '29', '5']"
j14,huffner,0.01,0.0,3,"['1', '14', '15']"
j14,huffner,0.1,0.0,3,"['1', '14', '15']"
j14,huffner,1,0.3,3,"['1', '14', '15']"
j14,huffner,10,1.0,3,"['1', '14', '15']"
j15,huffner,0.01,0.0,0,[]
j15,huffner,0.1,0.0,0,[]
j15,huffner,1,0.3,0,[]
j15,huffner,10,1.0,0,[]
j16,huffner,0.01,0.0,0,[]
j16,huffner,0.1,0.0,0,[]
j16,huffner,1,0.3,0,[]
j16,huffner,10,1.0,0,[]
j17,huffner,0.01,0.0,10,"['11', '15', '2', '21', '23', '25', '27', '4', '8', '9']"
j17,huffner,0.1,0.0,10,"['11', '14', '15', '21', '25', '27', '3', '4', '8', '9']"
j17,huffner,1,0.3,10,"['11', '15', '2', '21', '23', '25', '27', '4', '8', '9']"
j17,huffner,10,1.0,10,"['11', '15', '2', '21', '23', '25', '27', '4', '8', '9']"
j18,huffner,0.01,0.0,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j18,huffner,0.1,0.0,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j18,huffner,1,0.3,9,"['11', '18', '2', '3', '42', '45', '46', '6', '9']"
j18,huffner,10,1.0,9,"['11', '18', '2', '3', '42', '45', '46', '6', '9']"
j19,huffner,0.01,0.0,3,"['10', '11', '14']"
j19,huffner,0.1,0.0,3,"['10', '11', '14']"
j19,huffner,1,0.3,3,"['10', '11', '14']"
j19,huffner,10,1.0,3,"['10', '11', '14']"
j20,huffner,0.01,0.0,0,[]
j20,huffner,0.1,0.0,0,[]
j20,huffner,1,0.3,0,[]
j20,huffner,10,1.0,0,[]
j21,huffner,0.01,0.0,2,"['4', '7']"
j21,huffner,0.1,0.0,2,"['4', '7']"
j21,huffner,1,0.3,2,"['4', '7']"
j21,huffner,10,1.0,2,"['4', '7']"
j22,huffner,0.01,0.0,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j22,huffner,0.1,0.0,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j22,huffner,1,0.3,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j22,huffner,10,1.0,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j23,huffner,0.01,0.01,19,"['1', '15', '2', '20', '21', '26', '33', '38', '39', '41', '5', '9', '8', '14', '3', '42', '30', '31', '49']"
