Dataset,Timeout,C - Size,HE - Size,C - Time,HE - Time
gka_26,1.0,43,44,1.0,0.0
gka_26,10.0,43,44,10.0,0.0
gka_27,0.01,75,65,0.0,0.0
gka_27,0.1,65,64,0.1,0.0
gka_27,1.0,63,63,1.0,0.1
gka_27,10.0,63,63,10.0,0.1
gka_28,0.01,94,73,0.0,0.0
gka_28,0.1,74,72,0.1,0.0
gka_28,1.0,71,72,1.0,0.0
gka_28,10.0,71,72,10.0,0.0
gka_29,0.01,95,77,0.0,0.0
gka_29,0.1,80,77,0.1,0.0
gka_29,1.0,79,77,1.0,0.0
gka_29,10.0,78,77,10.0,0.0
gka_3,0.01,24,24,0.0,0.0
gka_3,0.1,24,24,0.1,0.0
gka_3,1.0,23,24,0.7,0.0
gka_3,10.0,23,23,0.9,9.8
gka_30,0.01,96,83,0.0,0.0
gka_30,0.1,85,83,0.1,0.0
gka_30,1.0,83,83,1.0,0.0
gka_30,10.0,82,83,10.0,0.0
gka_31,0.01,95,86,0.0,0.0
gka_31,0.1,88,86,0.1,0.0
gka_31,1.0,87,86,1.0,0.0
gka_31,10.0,85,86,10.0,0.0
gka_32,0.01,97,89,0.0,0.0
gka_32,0.1,90,89,0.1,0.0
gka_32,1.0,89,89,1.0,0.0
gka_32,10.0,88,88,10.0,5.0
gka_33,0.01,98,91,0.0,0.0
gka_33,0.1,98,90,0.1,0.0
gka_33,1.0,90,90,1.0,0.0
gka_33,10.0,90,90,2.4,0.0
gka_34,0.01,98,93,0.0,0.0
gka_34,0.1,98,93,0.1,0.0
gka_34,1.0,92,93,1.0,0.0
gka_34,10.0,92,92,1.3,2.0
gka_35,0.01,0,0,0.0,0.0
gka_35,0.1,0,0,0.0,0.0
gka_35,1.0,0,0,0.0,0.0
gka_35,10.0,0,0,0.0,0.0
gka_4,0.01,33,31,0.0,0.0
gka_4,0.1,33,31,0.1,0.0
gka_4,1.0,28,30,1.0,0.2
gka_4,10.0,28,30,1.2,0.2
gka_5,0.01,23,22,0.0,0.0
gka_5,0.1,23,22,0.1,0.0
gka_5,1.0,22,22,0.1,0.0
gka_5,10.0,22,22,0.1,0.0
gka_6,0.01,16,16,0.0,0.0
gka_6,0.1,16,16,0.0,0.0
gka_6,1.0,16,16,0.0,0.0
gka_6,10.0,16,16,0.0,0.0
gka_7,0.01,18,18,0.0,0.0
gka_7,0.1,18,18,0.0,0.0
gka_7,1.0,18,18,0.0,0.0
gka_7,10.0,18,18,0.0,0.0
gka_8,0.01,33,34,0.0,0.0
gka_8,0.1,33,33,0.1,0.0
gka_8,1.0,28,31,1.0,0.3
gka_8,10.0,28,31,2.5,0.3
gka_9,0.01,2,2,0.0,0.0
gka_9,0.1,2,2,0.0,0.0
gka_9,1.0,2,2,0.0,0.0
gka_9,10.0,2,2,0.0,0.0
j10,0.01,3,3,0.0,0.0
j10,0.1,3,3,0.0,0.0
j10,1.0,3,3,0.0,0.0
j10,10.0,3,3,0.0,0.0
j11,0.01,5,5,0.0,0.0
j11,0.1,5,5,0.0,0.0
j11,1.0,5,5,0.0,0.0
