Dataset,Preprocessing,Time,Size,Certificate
gka_3,0,120,24,"['0', '14', '16', '20', '22', '24', '26', '28', '30', '34', '35', '41', '43', '46', '47', '51', '54', '57', '59', '61', '64', '66', '69', '9']"
gka_3,1,120,23,"['1', '15', '17', '19', '23', '24', '29', '3', '33', '41', '43', '45', '46', '49', '52', '57', '59', '60', '61', '64', '66', '7', '34']"
gka_3,2,120,23,"['0', '1', '13', '15', '18', '19', '22', '24', '29', '3', '31', '39', '45', '46', '47', '48', '52', '54', '56', '57', '60', '61', '69']"
gka_3,0,120,23,"['1', '15', '17', '23', '27', '29', '3', '32', '33', '43', '45', '46', '47', '48', '49', '52', '55', '57', '59', '64', '66', '69', '9']"
gka_3,1,120,23,"['10', '11', '15', '19', '20', '23', '25', '29', '3', '38', '46', '47', '49', '5', '52', '54', '60', '61', '64', '67', '8', '9', '26']"
gka_3,2,120,23,"['0', '1', '13', '15', '18', '19', '22', '24', '29', '3', '31', '39', '45', '46', '47', '48', '52', '54', '56', '57', '60', '61', '69']"
gka_3,0,120,23,"['1', '15', '17', '19', '22', '29', '3', '31', '33', '38', '43', '45', '46', '47', '48', '52', '54', '57', '59', '60', '61', '64', '7']"
gka_3,1,120,23,"['1', '11', '16', '19', '24', '29', '3', '38', '41', '43', '45', '46', '47', '49', '52', '54', '56', '57', '59', '61', '64', '7', '23']"
gka_3,2,120,23,"['1', '11', '16', '19', '22', '24', '29', '35', '38', '43', '45', '46', '47', '52', '54', '56', '57', '59', '60', '61', '67', '7', '18']"
gka_3,0,87.7,23,"['10', '11', '15', '18', '19', '23', '27', '29', '3', '30', '38', '43', '45', '46', '47', '48', '52', '54', '55', '57', '59', '64', '69']"
gka_3,1,120,23,"['10', '11', '15', '19', '20', '23', '25', '29', '3', '38', '46', '47', '49', '5', '52', '54', '55', '56', '60', '64', '8', '9', '26']"
gka_3,2,120,23,"['16', '17', '23', '27', '29', '3', '38', '41', '43', '45', '46', '47', '49', '50', '52', '54', '56', '57', '59', '64', '65', '69', '11']"
gka_3,0,120,24,"['1', '11', '15', '19', '22', '24', '29', '3', '35', '41', '43', '45', '46', '47', '48', '52', '56', '57', '59', '61', '64', '66', '69', '9']"
gka_3,1,120,23,"['1', '10', '11', '13', '16', '19', '22', '24', '29', '35', '43', '45', '46', '48', '52', '56', '57', '60', '61', '64', '66', '69', '47']"
gka_3,2,120,23,"['1', '10', '11', '13', '16', '19', '22', '24', '29', '35', '43', '45', '46', '47', '48', '52', '56', '57', '60', '61', '64', '66', '69']"
gka_3,0,120,23,"['10', '11', '15', '19', '20', '23', '25', '26', '29', '3', '36', '38', '49', '5', '52', '6', '61', '64', '65', '67', '69', '9', '9']"
gka_3,1,120,23,"['0', '10', '14', '15', '17', '19', '20', '22', '24', '26', '3', '35', '38', '45', '46', '49', '54', '55', '60', '64', '67', '9', '47']"
gka_3,2,120,24,"['0', '10', '14', '17', '19', '20', '22', '23', '26', '3', '34', '35', '38', '45', '46', '47', '48', '49', '54', '55', '60', '64', '9', '5']"
gka_3,0,120,23,"['11', '16', '17', '23', '27', '29', '3', '30', '38', '41', '43', '45', '46', '47', '49', '52', '54', '56', '57', '59', '64', '67', '69']"
gka_3,1,120,23,"['1', '11', '16', '19', '22', '24', '29', '3', '35', '39', '41', '45', '46', '47', '48', '52', '54', '56', '57', '59', '61', '64', '69']"
gka_3,2,120,23,"['1', '11', '16', '19', '22', '24', '29', '3', '35', '39', '41', '45', '46', '47', '48', '52', '54', '56', '57', '59', '61', '64', '69']"
