Dataset,Solver,Timeout,Time,Size,Certificate
aa47,IC_1,0.01,0.0,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa47,IC_1,0.1,0.0,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa48,IC_1,0.01,0.01,18,"['0', '1', '15', '16', '17', '18', '25', '26', '27', '30', '37', '9', '19', '33', '23', '24', '34', '14']"
aa48,IC_1,0.1,0.1,17,"['0', '1', '15', '16', '17', '18', '19', '20', '23', '27', '33', '34', '37', '38', '40', '6', '9']"
aa49,IC_1,0.01,0.0,0,[]
aa49,IC_1,0.1,0.0,0,[]
aa50,IC_1,0.01,0.01,19,"['11', '18', '22', '23', '29', '31', '35', '39', '49', '5', '53', '58', '59', '7', '8', '33', '52', '17', '24']"
aa50,IC_1,0.1,0.1,18,"['11', '18', '22', '23', '24', '29', '31', '33', '35', '39', '49', '5', '52', '53', '58', '59', '7', '8']"
aa51,IC_1,0.01,0.0,11,"['1', '11', '17', '24', '3', '35', '41', '42', '6', '7', '9']"
aa51,IC_1,0.1,0.0,11,"['11', '17', '24', '3', '35', '41', '42', '43', '6', '7', '9']"
aa52,IC_1,0.01,0.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa52,IC_1,0.1,0.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa53,IC_1,0.01,0.01,12,"['12', '2', '24', '26', '27', '3', '31', '33', '34', '38', '40', '42']"
aa53,IC_1,0.1,0.0,12,"['16', '24', '26', '27', '3', '31', '33', '34', '36', '38', '40', '42']"
aa54,IC_1,0.01,0.01,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
aa54,IC_1,0.1,0.0,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
j10,IC_1,0.01,0.0,3,"['0', '5', '8']"
j10,IC_1,0.1,0.0,3,"['0', '5', '8']"
j11,IC_1,0.01,0.0,5,"['17', '18', '19', '24', '25']"
j11,IC_1,0.1,0.0,5,"['17', '18', '19', '24', '25']"
j13,IC_1,0.01,0.0,4,"['17', '24', '29', '5']"
j13,IC_1,0.1,0.0,4,"['17', '24', '29', '5']"
j14,IC_1,0.01,0.0,3,"['1', '14', '15']"
j14,IC_1,0.1,0.0,3,"['1', '14', '15']"
j15,IC_1,0.01,0.0,0,[]
j15,IC_1,0.1,0.0,0,[]
j16,IC_1,0.01,0.0,0,[]
j16,IC_1,0.1,0.0,0,[]
