Dataset,Timeout,Size,Time,Certificate
aa25.edgelist,100,0,0,[]
aa26.edgelist,100,12,11,"[0,1,5,19,21,22,25,29,30,31,33,38]"
aa27.edgelist,100,14,2,"[0,3,6,9,11,15,16,17,20,23,30,34,40,76]"
aa28.edgelist,100,31,31,"[4,5,7,11,14,15,17,18,20,22,24,25,28,30,31,32,36,37,41,45,47,49,51,54,56,58,59,60,62,63,64]"
aa29.edgelist,100,22,18,"[6,7,10,15,17,20,21,25,29,33,36,38,40,42,43,45,50,54,55,58,66,68]"
aa30.edgelist,100,4,5,"[4,7,9,11]"
aa31.edgelist,100,0,0,[]
aa32.edgelist,100,32,36,"[0,1,4,6,7,9,11,14,16,19,20,21,23,24,25,26,27,30,32,33,35,36,37,39,50,52,55,56,57,59,60,118]"
aa33.edgelist,100,4,0,"[24,32,33,35]"
aa34.edgelist,100,13,33,"[4,8,9,10,11,14,16,19,20,28,31,35,36]"
aa35.edgelist,100,10,4,"[3,11,13,14,16,20,21,30,32,37]"
aa36.edgelist,100,7,2,"[8,10,17,18,29,31,32]"
aa37.edgelist,100,4,13,"[1,5,20,28]"
aa38.edgelist,100,31,91,"[0,13,14,18,19,21,22,23,25,26,29,35,38,39,40,44,47,48,49,50,51,52,53,56,59,61,62,63,64,65,66]"
aa39.edgelist,100,26,30,"[3,5,6,7,9,10,11,13,14,17,18,19,20,22,23,24,27,28,29,30,40,41,50,56,57,104]"
aa40.edgelist,100,22,10,"[8,12,16,18,27,28,32,33,37,40,41,44,45,46,47,48,50,52,53,55,56,58]"
aa41.edgelist,100,48,21,"[2,6,7,8,10,11,12,13,14,15,17,18,20,26,27,29,33,35,36,37,39,41,42,44,45,46,47,48,49,50,51,54,56,57,58,61,62,63,66,68,71,72,76,81,83,86,87,88]"
aa42.edgelist,100,36,4,"[1,5,10,11,12,15,16,17,18,20,24,28,30,31,32,43,47,49,50,54,56,58,59,61,65,66,69,74,75,77,78,79,80,81,85,87]"
