Dataset,Timeout,Size,Time,Certificate
gka_32.edgelist,10000,88,5057,"[0,1,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,51,53,54,55,56,57,59,60,62,63,64,65,66,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99]"
gka_33.edgelist,10000,90,175,"[1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,58,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,79,80,81,82,84,85,86,88,89,90,91,92,93,94,95,96,97,98,99]"
gka_34.edgelist,10000,92,1988,"[0,1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,18,19,20,21,22,23,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98]"
gka_35.edgelist,10000,0,0,[]
bqp50_1.edgelist,10000,11,40,"[2,5,13,14,32,33,37,42,45,47,49]"
bqp50_2.edgelist,10000,11,216,"[5,8,9,15,27,30,31,34,38,40,43]"
bqp50_3.edgelist,10000,14,15,"[0,8,9,10,22,30,31,36,39,40,41,43,44,46]"
bqp50_4.edgelist,10000,11,48,"[10,15,16,17,19,20,21,23,28,33,41]"
bqp50_5.edgelist,10000,13,0,"[1,4,17,18,27,28,29,32,33,35,46,47,49]"
bqp50_6.edgelist,10000,9,6,"[6,8,11,15,16,20,21,23,37]"
bqp50_7.edgelist,10000,9,11,"[1,5,13,16,23,28,39,45,47]"
bqp50_8.edgelist,10000,14,1665,"[0,5,8,12,14,16,17,19,23,24,29,35,37,45]"
bqp50_9.edgelist,10000,12,3970,"[1,10,14,15,17,20,23,26,27,29,40,41]"
bqp50_10.edgelist,10000,11,373,"[0,3,6,12,18,25,26,28,30,39,41]"
bqp100_1.edgelist,10000,43,3,"[1,2,5,6,7,12,13,15,17,18,21,22,23,24,26,27,29,32,34,36,39,40,45,47,52,56,57,59,60,69,71,72,74,76,78,79,80,88,89,92,95,98,99]"
bqp100_2.edgelist,10000,43,30,"[2,3,7,11,12,13,14,16,21,22,26,27,28,29,31,34,40,41,45,47,48,51,54,56,59,63,66,68,69,71,72,73,74,75,76,85,86,87,93,94,96,98,99]"
bqp100_3.edgelist,10000,44,290,"[0,1,6,8,9,10,18,19,20,22,23,25,26,31,33,34,36,38,39,40,43,46,47,50,52,53,56,57,58,59,60,63,65,71,73,74,76,77,81,82,86,89,97,98]"
bqp100_4.edgelist,10000,42,16,"[3,4,6,8,10,11,14,20,21,22,23,24,27,32,34,35,36,37,42,43,44,45,46,48,54,61,64,66,68,69,70,71,73,75,79,81,85,86,92,94,97,99]"
bqp100_5.edgelist,10000,42,2513,"[0,1,2,3,4,5,8,10,14,15,17,18,19,20,26,27,28,31,32,33,34,38,42,44,45,51,54,55,58,63,64,67,71,72,73,79,80,81,83,90,94,99]"
bqp100_6.edgelist,10000,45,3,"[0,2,8,9,12,15,16,17,21,24,26,29,30,31,33,34,39,41,45,46,48,50,53,55,56,62,64,65,67,68,70,72,81,82,83,84,85,86,88,90,91,95,97,98,99]"
bqp100_7.edgelist,10000,44,27,"[0,1,2,4,5,7,8,9,12,13,16,17,18,20,21,22,23,27,28,37,38,40,44,51,52,57,60,61,65,66,69,75,80,84,86,87,90,91,93,94,95,96,97,99]"
bqp100_8.edgelist,10000,45,17,"[5,6,9,11,13,14,15,18,21,22,24,25,27,29,33,34,36,39,40,41,45,48,50,54,56,58,61,65,68,70,71,72,74,75,77,79,80,81,83,90,92,93,94,95,99]"
bqp100_9.edgelist,10000,45,14,"[4,5,7,10,11,12,13,14,15,18,19,24,27,30,32,33,34,35,43,45,47,48,50,53,54,57,60,61,62,64,68,69,73,74,75,79,80,81,83,87,93,95,96,98,99]"
bqp100_10.edgelist,10000,45,51,"[4,6,11,12,16,17,18,19,20,21,28,32,33,36,39,40,42,43,45,46,49,50,54,55,57,58,62,63,64,65,66,67,71,74,75,78,79,80,81,86,89,90,91,92,99]"
