Dataset,Solver,Timeout,HTime,Time,Size,Certificate
gka_23,huffner,0.01,0.001,0.01,49,"['18', '23', '28', '3', '32', '4', '44', '49', '51', '53', '58', '65', '71', '8', '30', '35', '78', '22', '11', '67', '0', '31', '43', '69', '10', '37', '60', '45', '16', '6', '57', '42', '47', '2', '15', '29', '27', '55', '14', '64', '26', '40', '52', '13', '79', '74', '62', '73', '1']"
gka_24,huffner,0.01,0.001,0.01,38,"['2', '24', '34', '36', '38', '42', '53', '59', '62', '72', '82', '83', '55', '25', '67', '47', '39', '40', '75', '69', '46', '22', '70', '58', '19', '35', '51', '49', '43', '80', '86', '1', '79', '64', '4', '14', '73', '76']"
gka_25,huffner,0.01,0.001,0.01,47,"['12', '17', '19', '31', '32', '42', '44', '49', '68', '83', '96', '98', '52', '74', '0', '11', '16', '85', '93', '2', '46', '50', '26', '45', '34', '60', '99', '1', '48', '58', '81', '29', '4', '87', '38', '94', '47', '73', '18', '86', '65', '97', '35', '71', '20', '92', '61']"
gka_26,huffner,0.01,0.001,0.01,44,"['12', '13', '14', '3', '43', '48', '63', '64', '68', '7', '93', '95', '70', '10', '23', '28', '57', '6', '37', '45', '54', '81', '87', '97', '2', '78', '71', '76', '38', '79', '59', '55', '65', '40', '74', '99', '56', '34', '9', '41', '72', '29', '58', '92']"
gka_27,huffner,0.01,0.001,0.01,64,"['11', '19', '29', '41', '42', '53', '54', '6', '61', '66', '68', '9', '94', '99', '17', '82', '63', '83', '37', '47', '10', '22', '20', '50', '16', '88', '75', '15', '71', '31', '28', '74', '13', '2', '8', '51', '87', '93', '55', '36', '84', '78', '86', '35', '40', '89', '73', '85', '34', '25', '45', '59', '70', '58', '46', '81', '98', '92', '38', '97', '57', '56', '39', '33']"
gka_28,huffner,0.01,0.001,0.01,74,"['1', '16', '17', '2', '21', '4', '42', '43', '60', '64', '67', '68', '75', '74', '99', '95', '76', '35', '97', '93', '12', '56', '57', '65', '45', '98', '28', '85', '55', '36', '66', '87', '80', '9', '39', '14', '34', '62', '18', '0', '30', '51', '24', '3', '70', '8', '83', '71', '91', '77', '26', '46', '92', '50', '48', '10', '47', '19', '25', '20', '73', '37', '69', '23', '5', '86', '72', '90', '32', '41', '96', '88', '81', '7']"
gka_29,huffner,0.01,0.001,0.01,77,"['23', '24', '29', '3', '41', '44', '49', '55', '59', '61', '64', '66', '72', '85', '90', '92', '84', '99', '42', '21', '22', '6', '19', '39', '25', '33', '71', '15', '54', '38', '40', '48', '13', '14', '45', '74', '81', '91', '97', '43', '69', '5', '75', '28', '50', '82', '83', '65', '78', '67', '17', '1', '32', '35', '58', '16', '76', '12', '51', '88', '8', '34', '26', '63', '80', '86', '10', '62', '27', '2', '7', '70', '93', '53', '79', '4', '77']"
gka_30,huffner,0.01,0.001,0.01,84,"['12', '24', '31', '35', '36', '37', '38', '39', '41', '48', '51', '54', '58', '76', '82', '87', '34', '68', '81', '71', '59', '0', '26', '29', '98', '46', '93', '17', '33', '8', '43', '53', '22', '65', '16', '20', '85', '50', '96', '56', '30', '18', '63', '7', '78', '75', '79', '61', '21', '97', '49', '40', '73', '57', '10', '74', '95', '55', '64', '89', '92', '6', '60', '28', '32', '72', '47', '1', '15', '42', '86', '70', '80', '45', '9', '91', '3', '23', '4', '14', '27', '69', '62', '66']"
gka_31,huffner,0.01,0.001,0.01,87,"['11', '15', '17', '24', '3', '30', '38', '4', '44', '45', '49', '52', '55', '63', '77', '89', '35', '25', '22', '93', '12', '43', '31', '19', '40', '28', '5', '51', '67', '87', '82', '85', '7', '29', '1', '94', '71', '8', '95', '99', '69', '10', '6', '75', '26', '41', '65', '90', '91', '48', '61', '83', '84', '33', '34', '64', '16', '13', '54', '60', '78', '23', '80', '66', '74', '21', '39', '50', '46', '27', '76', '86', '62', '70', '47', '92', '36', '9', '97', '59', '20', '96', '58', '68', '72', '81', '57']"
gka_32,huffner,0.01,0.001,0.01,89,"['12', '14', '15', '24', '25', '29', '32', '40', '44', '48', '55', '67', '77', '83', '87', '90', '95', '96', '99', '39', '11', '94', '54', '69', '61', '80', '81', '91', '62', '65', '84', '43', '20', '93', '45', '18', '88', '6', '34', '22', '66', '8', '9', '36', '47', '21', '68', '78', '16', '41', '31', '10', '30', '97', '0', '28', '17', '73', '74', '46', '75', '38', '58', '71', '4', '13', '27', '82', '63', '33', '5', '70', '72', '85', '76', '92', '7', '1', '3', '56', '89', '49', '35', '86', '98', '26', '64', '52', '60']"
gka_33,huffner,0.01,0.001,0.01,91,"['12', '19', '27', '31', '34', '36', '37', '44', '55', '58', '6', '94', '49', '59', '73', '74', '84', '54', '0', '65', '79', '40', '53', '9', '10', '30', '16', '13', '81', '38', '11', '47', '5', '87', '3', '32', '95', '20', '52', '62', '76', '77', '63', '46', '68', '78', '4', '35', '28', '99', '61', '70', '14', '8', '96', '66', '80', '72', '51', '86', '50', '90', '64', '75', '45', '97', '23', '42', '91', '15', '43', '60', '48', '67', '2', '26', '18', '41', '29', '93', '33', '88', '25', '69', '89', '1', '83', '24', '92', '57', '56']"
gka_34,huffner,0.01,0.001,0.01,93,"['0', '13', '18', '31', '40', '45', '55', '59', '66', '67', '7', '70', '84', '33', '37', '39', '1', '41', '5', '6', '72', '14', '53', '61', '69', '80', '85', '86', '90', '91', '52', '58', '82', '95', '96', '99', '46', '11', '57', '73', '76', '79', '47', '29', '60', '10', '34', '83', '51', '49', '50', '56', '9', '63', '64', '75', '88', '93', '26', '77', '4', '48', '98', '32', '81', '15', '23', '89', '22', '68', '35', '62', '92', '65', '30', '87', '43', '2', '25', '17', '74', '20', '78', '38', '54', '16', '94', '21', '27', '3', '71', '28', '44']"
gka_35,huffner,0.01,0.001,0.0,0,[]
bqp50_1,huffner,0.01,0.001,0.01,12,"['13', '14', '2', '32', '33', '37', '42', '45', '47', '49', '5', '26']"
bqp50_2,huffner,0.01,0.001,0.0,11,"['20', '21', '27', '28', '30', '31', '33', '4', '44', '46', '5']"
bqp50_3,huffner,0.01,0.001,0.01,15,"['22', '23', '34', '37', '41', '42', '44', '48', '5', '6', '8', '12', '21', '14', '30']"
bqp50_4,huffner,0.01,0.001,0.01,12,"['10', '11', '19', '20', '21', '28', '30', '36', '39', '44', '45', '33']"
bqp50_5,huffner,0.01,0.001,0.01,14,"['14', '17', '2', '26', '27', '3', '31', '35', '37', '48', '49', '16', '44', '19']"
bqp50_6,huffner,0.01,0.001,0.0,9,"['11', '16', '20', '21', '23', '37', '6', '8', '9']"
bqp50_7,huffner,0.01,0.001,0.0,9,"['1', '13', '14', '15', '16', '23', '39', '43', '47']"
bqp50_8,huffner,0.01,0.001,0.01,16,"['12', '2', '29', '3', '32', '36', '41', '42', '43', '46', '48', '19', '25', '14', '38', '22']"
bqp50_9,huffner,0.01,0.001,0.01,14,"['1', '14', '21', '22', '23', '24', '25', '27', '37', '40', '41', '44', '36', '39']"
bqp50_10,huffner,0.01,0.001,0.0,11,"['0', '12', '18', '2', '24', '26', '29', '30', '39', '41', '6']"
