Dataset,Solver,Time,Size,Certificate
aa53,akiba_iwata,0.1,12,"[3, 12, 16, 24, 26, 27, 31, 33, 34, 37, 38, 42]"
aa53,ilp,0.1,12,"['2', '33', '38', '42', '3', '24', '37', '27', '34', '12', '26', '31']"
aa54,akiba_iwata,0.2,12,"[12, 15, 16, 18, 19, 20, 26, 29, 31, 35, 40, 42]"
aa54,ilp,0.1,12,"['15', '35', '42', '18', '16', '20', '40', '12', '26', '19', '29', '31']"
j10,akiba_iwata,0.1,3,"[0, 5, 8]"
j10,ilp,0.0,3,"['14', '0', '8']"
j11,akiba_iwata,0.1,5,"[17, 18, 19, 24, 25]"
j11,ilp,0.0,5,"['17', '24', '19', '25', '18']"
j13,akiba_iwata,0.1,4,"[5, 17, 24, 29]"
j13,ilp,0.0,4,"['17', '24', '16', '5']"
j14,akiba_iwata,0.1,3,"[0, 1, 4]"
j14,ilp,0.0,3,"['1', '4', '0']"
j15,akiba_iwata,0.1,0,[]
j15,ilp,0.0,0,[]
j16,akiba_iwata,0.1,0,[]
j16,ilp,0.0,0,[]
j17,akiba_iwata,0.1,10,"[3, 4, 8, 9, 11, 14, 15, 21, 25, 27]"
j17,ilp,0.0,10,"['15', '14', '25', '11', '8', '3', '4', '21', '9', '27']"
j18,akiba_iwata,0.1,9,"[2, 3, 6, 9, 11, 18, 42, 45, 46]"
j18,ilp,0.0,9,"['46', '6', '11', '42', '18', '3', '45', '2', '9']"
j19,akiba_iwata,0.1,3,"[10, 11, 14]"
j19,ilp,0.0,3,"['14', '10', '11']"
j20,akiba_iwata,0.1,0,[]
j20,ilp,0.0,0,[]
j21,akiba_iwata,0.1,2,"[1, 3]"
j21,ilp,0.0,2,"['0', '4']"
j22,akiba_iwata,0.1,9,"[26, 32, 35, 36, 37, 40, 41, 43, 44]"
j22,ilp,0.0,9,"['44', '36', '35', '13', '43', '41', '40', '32', '26']"
j23,akiba_iwata,0.1,19,"[2, 3, 5, 7, 8, 14, 17, 19, 20, 21, 24, 29, 30, 37, 40, 41, 42, 45, 49]"
j23,ilp,0.1,19,"['44', '15', '17', '7', '14', '30', '49', '3', '41', '20', '5', '2', '8', '21', '12', '1', '26', '42', '9']"
j24,akiba_iwata,0.1,3,"[20, 35, 40]"
j24,ilp,0.0,3,"['35', '20', '40']"
j25,akiba_iwata,0.1,0,[]
j25,ilp,0.0,0,[]
j26,akiba_iwata,0.1,6,"[3, 4, 21, 24, 27, 28]"
j26,ilp,0.0,6,"['24', '21', '27', '26', '28', '3']"
j28,akiba_iwata,0.1,13,"[5, 8, 9, 10, 12, 38, 39, 40, 41, 42, 43, 44, 52]"
j28,ilp,0.0,13,"['7', '10', '42', '5', '39', '38', '43', '8', '44', '32', '9', '40', '12']"
gka_1,akiba_iwata,0.1,9,"[3, 4, 7, 9, 15, 22, 23, 38, 43]"
gka_1,ilp,0.1,9,"['15', '7', '38', '3', '23', '4', '12', '9', '0']"
gka_2,akiba_iwata,0.4,16,"[0, 2, 5, 10, 19, 23, 28, 29, 30, 31, 33, 36, 38, 41, 47, 48]"
gka_2,ilp,0.1,16,"['44', '46', '36', '22', '48', '30', '28', '33', '38', '3', '24', '41', '5', '2', '21', '56']"
gka_3,akiba_iwata,1.4,23,"[1, 3, 9, 15, 19, 20, 23, 24, 25, 29, 38, 45, 46, 47, 49, 52, 54, 57, 59, 60, 61, 64, 69]"
gka_3,ilp,0.9,23,"['46', '17', '15', '52', '48', '65', '64', '49', '69', '33', '38', '43', '3', '47', '23', '54', '45', '27', '29', '57', '59', '32', '55']"
gka_4,akiba_iwata,4.4,28,"[1, 2, 5, 9, 10, 14, 17, 18, 20, 31, 32, 35, 37, 40, 43, 46, 49, 50, 53, 57, 59, 61, 62, 65, 68, 69, 76, 77]"
gka_4,ilp,2.3,28,"['46', '17', '77', '10', '65', '2', '35', '61', '5', '49', '69', '43', '18', '50', '62', '37', '32', '20', '68', '40', '9', '57', '53', '34', '59', '76', '31', '1']"
