Dataset,Solver,Time,Size,Certificate
gka_16,ilp,0.2,86,"['6', '65', '20', '47', '38', '33', '64', '25', '69', '73', '79', '23', '27', '44', '19', '56', '84', '81', '61', '16', '86', '9', '18', '29', '0', '66', '42', '14', '52', '43', '76', '74', '7', '8', '72', '4', '2', '32', '13', '28', '45', '80', '53', '88', '31', '35', '26', '62', '85', '89', '39', '3', '22', '30', '78', '54', '50', '57', '5', '10', '12', '51', '70', '24', '49', '46', '75', '21', '63', '82', '67', '40', '11', '59', '1', '34', '87', '71', '17', '37', '41', '58', '83', '77', '36', '68']"
gka_17,ilp,0.1,96,"['6', '65', '20', '47', '38', '33', '64', '69', '99', '94', '79', '35', '23', '60', '90', '27', '44', '19', '84', '7', '61', '16', '15', '86', '9', '18', '29', '0', '66', '5', '52', '26', '43', '73', '76', '74', '8', '72', '48', '4', '95', '2', '32', '98', '13', '28', '45', '80', '53', '88', '37', '39', '31', '97', '62', '85', '93', '3', '89', '22', '30', '78', '55', '54', '50', '57', '12', '51', '70', '24', '49', '10', '46', '75', '21', '63', '82', '67', '91', '40', '11', '59', '96', '1', '34', '87', '14', '92', '71', '17', '56', '41', '58', '83', '68', '36']"
gka_18,ilp,0.4,120,"['6', '65', '59', '20', '47', '33', '64', '25', '69', '99', '106', '94', '79', '35', '60', '27', '117', '102', '81', '1', '61', '16', '15', '90', '86', '5', '111', '9', '18', '29', '0', '66', '36', '42', '14', '52', '26', '43', '73', '76', '74', '7', '8', '72', '48', '4', '124', '95', '32', '45', '114', '98', '13', '118', '119', '28', '105', '80', '110', '53', '88', '108', '123', '120', '37', '39', '31', '121', '116', '97', '62', '85', '109', '93', '3', '113', '89', '22', '30', '78', '100', '55', '104', '50', '112', '57', '67', '12', '51', '70', '24', '103', '10', '46', '75', '21', '44', '63', '82', '101', '91', '40', '11', '96', '34', '58', '87', '54', '122', '92', '71', '107', '17', '56', '115', '23', '41', '83', '68', '77']"
gka_19,ilp,0.0,32,"['9', '6', '4', '20', '18', '25', '0', '35', '26', '14', '39', '3', '23', '22', '1', '34', '8', '30', '19', '2', '7', '37', '16', '10', '15', '31', '13', '28', '5', '36', '27', '33']"
gka_20,ilp,0.1,39,"['6', '31', '38', '25', '26', '39', '3', '35', '23', '22', '30', '27', '1', '16', '10', '15', '47', '49', '9', '18', '29', '24', '0', '42', '14', '40', '11', '8', '48', '4', '2', '32', '17', '37', '13', '41', '12', '28', '36']"
gka_21,ilp,0.2,40,"['6', '59', '20', '31', '38', '33', '25', '39', '3', '35', '22', '27', '1', '16', '5', '10', '47', '49', '55', '46', '21', '4', '18', '29', '0', '42', '14', '52', '11', '43', '7', '34', '8', '48', '54', '2', '41', '28', '36', '17']"
gka_22,ilp,1.2,43,"['37', '20', '31', '38', '25', '39', '3', '35', '22', '60', '30', '44', '19', '1', '61', '57', '16', '10', '15', '47', '51', '29', '5', '49', '21', '64', '18', '67', '66', '42', '52', '11', '59', '0', '34', '8', '48', '54', '17', '13', '41', '28', '36']"
gka_23,ilp,15.3,46,"['6', '65', '31', '33', '25', '69', '62', '39', '3', '35', '30', '27', '44', '78', '19', '1', '57', '15', '51', '73', '29', '49', '75', '53', '9', '21', '64', '63', '18', '67', '45', '0', '37', '52', '11', '59', '76', '74', '8', '4', '14', '71', '32', '13', '28', '58']"
gka_24,ilp,16.2,37,"['20', '38', '33', '64', '25', '73', '79', '23', '60', '56', '15', '18', '66', '42', '72', '4', '28', '80', '53', '62', '89', '39', '3', '22', '30', '55', '51', '24', '46', '63', '40', '59', '34', '87', '58', '83', '36']"
gka_25,ilp,32.2,42,"['6', '47', '38', '33', '99', '94', '79', '60', '27', '19', '84', '81', '15', '86', '9', '5', '52', '74', '48', '2', '13', '28', '45', '53', '88', '37', '39', '31', '85', '12', '75', '67', '11', '96', '1', '34', '87', '17', '41', '83', '68', '36']"
